match_id,break_number,half,fixture,home,away,start_minute,disruption,percentile,n_candidates,has_claim,stage,cell
29,1,H1,Brazil v Haiti,Brazil,Haiti,26,0,,0,True,Group Stage,unscored
29,2,H2,Brazil v Haiti,Brazil,Haiti,69,4,100.0,18,False,Group Stage,hidden_effect
30,1,H1,Scotland v Morocco,Scotland,Morocco,24,0,22.22222222222222,18,False,Group Stage,true_null
30,2,H2,Scotland v Morocco,Scotland,Morocco,68,0,16.666666666666664,18,False,Group Stage,true_null
31,1,H1,USA v Australia,USA,Australia,25,1,83.33333333333334,12,False,Group Stage,hidden_effect
31,2,H2,USA v Australia,USA,Australia,68,2,66.66666666666666,18,False,Group Stage,mid
32,1,H1,Türkiye v Paraguay,Türkiye,Paraguay,26,0,16.666666666666664,18,False,Group Stage,true_null
32,2,H2,Türkiye v Paraguay,Türkiye,Paraguay,68,1,66.66666666666666,18,False,Group Stage,mid
33,1,H1,Germany v Côte d'Ivoire,Germany,Côte d'Ivoire,25,4,100.0,13,False,Group Stage,hidden_effect
33,2,H2,Germany v Côte d'Ivoire,Germany,Côte d'Ivoire,72,1,100.0,3,False,Group Stage,hidden_effect
34,1,H1,Ecuador v Curaçao,Ecuador,Curaçao,24,2,83.33333333333334,18,False,Group Stage,hidden_effect
34,2,H2,Ecuador v Curaçao,Ecuador,Curaçao,68,5,66.66666666666666,18,False,Group Stage,mid
35,1,H1,Netherlands v Sweden,Netherlands,Sweden,23,4,100.0,7,True,Group Stage,confirmed_feeling
35,2,H2,Netherlands v Sweden,Netherlands,Sweden,69,0,0.0,9,False,Group Stage,true_null
36,1,H1,Tunisia v Japan,Tunisia,Japan,24,1,25.0,12,False,Group Stage,true_null
36,2,H2,Tunisia v Japan,Tunisia,Japan,70,4,100.0,15,False,Group Stage,hidden_effect
37,1,H1,Belgium v IR Iran,Belgium,IR Iran,30,1,11.11111111111111,18,False,Group Stage,true_null
37,2,H2,Belgium v IR Iran,Belgium,IR Iran,70,0,14.285714285714285,14,False,Group Stage,true_null
38,1,H1,New Zealand v Egypt,New Zealand,Egypt,22,0,12.5,8,False,Group Stage,true_null
38,2,H2,New Zealand v Egypt,New Zealand,Egypt,72,3,,0,False,Group Stage,unscored
39,1,H1,Spain v Saudi Arabia,Spain,Saudi Arabia,25,1,60.0,5,False,Group Stage,mid
39,2,H2,Spain v Saudi Arabia,Spain,Saudi Arabia,68,1,78.94736842105263,19,False,Group Stage,mid
40,1,H1,Uruguay v Cabo Verde,Uruguay,Cabo Verde,25,2,100.0,6,False,Group Stage,hidden_effect
40,2,H2,Uruguay v Cabo Verde,Uruguay,Cabo Verde,71,1,14.285714285714285,7,False,Group Stage,true_null
41,1,H1,France v Iraq,France,Iraq,23,1,20.0,10,False,Group Stage,true_null
42,1,H1,Norway v Senegal,Norway,Senegal,23,0,16.666666666666664,18,False,Group Stage,true_null
42,2,H2,Norway v Senegal,Norway,Senegal,68,1,70.0,10,False,Group Stage,mid
43,1,H1,Argentina v Austria,Argentina,Austria,23,3,87.5,16,False,Group Stage,hidden_effect
43,2,H2,Argentina v Austria,Argentina,Austria,69,0,31.57894736842105,19,False,Group Stage,true_null
45,1,H1,Portugal v Uzbekistan,Portugal,Uzbekistan,23,1,85.71428571428571,7,False,Group Stage,hidden_effect
45,2,H2,Portugal v Uzbekistan,Portugal,Uzbekistan,69,2,91.66666666666666,12,False,Group Stage,hidden_effect
46,1,H1,Colombia v Congo DR,Colombia,Congo DR,25,1,38.88888888888889,18,False,Group Stage,true_null
46,2,H2,Colombia v Congo DR,Colombia,Congo DR,68,0,18.181818181818183,11,False,Group Stage,true_null
47,1,H1,England v Ghana,England,Ghana,26,2,38.88888888888889,18,False,Group Stage,true_null
47,2,H2,England v Ghana,England,Ghana,70,5,94.44444444444444,18,False,Group Stage,hidden_effect
48,1,H1,Panama v Croatia,Panama,Croatia,23,0,88.88888888888889,18,False,Group Stage,hidden_effect
48,2,H2,Panama v Croatia,Panama,Croatia,69,0,28.57142857142857,14,False,Group Stage,true_null
49,1,H1,Czechia v Mexico,Czechia,Mexico,22,0,17.647058823529413,17,False,Group Stage,true_null
49,2,H2,Czechia v Mexico,Czechia,Mexico,68,2,100.0,7,False,Group Stage,hidden_effect
