match_id,n_shots,goals_pdf,goals_expected,own_goals_inferred,goals_match,xg_home_pdf,xg_home_meta,subs_on,subs_off,subs_balanced,n_physical_rows,sub_flags
40,29,4,4,0,True,2.23,1.65,8,8,True,29,"Uruguay Agustin CANOBBIO: unexplained markers [6] (mins=90, starting); Uruguay Maxi ARAUJO: no lineup match for markers [44, 82]; Cabo Verde DINEY BORGES: no lineup match for markers [93]; Cabo Verde GILSON BENCHIMOL: no lineup match for markers [58]; Cabo Verde GARRY RODRIGUES: no lineup match for markers [59]; Cabo Verde SIDNY LOPES CABRAL: no lineup match for markers [5]; Cabo Verde TELMO ARCANJO: no lineup match for markers [45]; Cabo Verde YANNICK SEMEDO: no lineup match for markers [80]; Uruguay Maximiliano Javier Araujo: sub implied by lineup minutes (81) but no PDF row parsed; Cabo Verde BENCHIMOLGilson Gilson: sub implied by lineup minutes (58) but no PDF row parsed; Cabo Verde RODRIGUESGarry Garry: sub implied by lineup minutes (58) but no PDF row parsed; Cabo Verde SEMEDOJair Yannick: sub implied by lineup minutes (10) but no PDF row parsed; Cabo Verde Emanuel Telmo: sub implied by lineup minutes (46) but no PDF row parsed"
41,23,3,3,0,True,2.3,2.21,10,9,False,29,"France Kylian MBAPPE: unexplained markers [1] (mins=90, starting); France Marcus THURAM: markers [1] far from expected 89; Iraq AIMAR SHER: no lineup match for markers [68]; Iraq Hazar Anwar Aimar: sub implied by lineup minutes (22) but no PDF row parsed"
42,29,5,5,0,True,1.5,1.95,10,10,True,29,"Norway Torbjorn HEGGEM: no lineup match for markers [84]; Senegal Ismaila SARR: unexplained markers [3] (mins=90, starting); Norway Leo Skiri Ostigard: sub implied by lineup minutes (6) but no PDF row parsed; Norway Torbjørn Lysaker Heggem: sub implied by lineup minutes (84) but no PDF row parsed"
43,18,2,2,0,True,2.45,1.78,10,10,True,30,"Argentina Lionel MESSI: unexplained markers [5] (mins=90, starting); Argentina Nico GONZALEZ: no lineup match for markers [65]; Argentina Nicolás Alejandro Tagliafico: sub implied by lineup minutes (8) but no PDF row parsed; Argentina Nicolas Ivan Gonzalez: sub implied by lineup minutes (26) but no PDF row parsed"
44,24,3,3,0,True,0.38,0.88,10,8,False,30,"Jordan HUSAM ABUDAHAB: unexplained markers [1] (mins=90, starting); Jordan ALI OLWAN: unexplained markers [2] (mins=90, starting); Jordan MOHAMMAD ABUHASHEESH: no lineup match for markers [85]; Jordan MOHAMMAD ABUZRAIQ: no lineup match for markers [2]; Jordan ODEH FAKHOURY: unexplained markers [77] (mins=0, substitutes); Jordan SALEEM OBAID: no lineup match for markers [1]; Algeria Rayan AIT NOURI: no lineup match for markers [85]; Jordan Ali Hasan Mohammad: sub implied by lineup minutes (5) but no PDF row parsed; Jordan Faisal Yousef Mohammad: sub implied by lineup minutes (1) but no PDF row parsed; Jordan Amer Saleem Saleem: sub implied by lineup minutes (1) but no PDF row parsed; Algeria Rayan Ait-Nouri: sub implied by lineup minutes (85) but no PDF row parsed"
45,24,4,5,1,True,2.03,3.54,10,8,False,30,"Portugal NUNO MENDES: no lineup match for markers [17]; Portugal NELSON SEMEDO: no lineup match for markers [45]; Uzbekistan Abduvohid NEMATOV: no lineup match for markers [60]; Uzbekistan Otabek SHUKUROV: unexplained markers [2] (mins=90, starting); Uzbekistan Behruzjon KARIMOV: unexplained markers [2] (mins=90, starting); Uzbekistan Ruslanbek JIYANOV: markers [2] far from expected 89; Uzbekistan Sherzod ESANOV: markers [2] far from expected 89; Portugal SEMEDONélson Nelson: sub implied by lineup minutes (44) but no PDF row parsed"
46,26,1,1,0,True,1.54,1.62,8,9,False,28,
47,21,0,0,0,True,1.78,1.12,9,8,False,29,England Noni MADUEKE: no lineup match for markers [83]; England Djed SPENCE: no lineup match for markers [66]; Ghana Baba RAHMAN: no lineup match for markers [5]; England Azuka Tristan Madueke: sub implied by lineup minutes (83) but no PDF row parsed; England Tehuti Djed-Hotep Spence: sub implied by lineup minutes (65) but no PDF row parsed; Ghana Abdul Rahman Rahman: sub implied by lineup minutes (1) but no PDF row parsed
48,14,1,1,0,True,0.69,0.42,9,9,True,29,
49,24,3,3,0,True,0.44,1.1,10,9,False,29,
50,21,1,1,0,True,0.89,1.26,8,8,True,29,South Korea HWANG Heechan: no lineup match for markers [45]; South Korea SON Heungmin Third: no lineup match for markers [45]; South Korea Heung Min Son: sub implied by lineup minutes (44) but no PDF row parsed; South Korea Hee Chan Hwang: sub implied by lineup minutes (46) but no PDF row parsed
51,19,3,3,0,True,1.68,0.71,10,10,True,30,Canada Richie LARYEA: no lineup match for markers [83]; Canada Tani OLUWASEYI: no lineup match for markers [58]; Switzerland Silvan Dominic Widmer: sub implied by lineup minutes (16) but no PDF row parsed; Canada Tanitoluwa Oluwatimilehin Oluwaseyi: sub implied by lineup minutes (32) but no PDF row parsed; Canada Richmond Mamah Laryea: sub implied by lineup minutes (83) but no PDF row parsed
52,23,3,4,1,True,0.77,1.48,10,10,True,29,Qatar ABDULAZIZ HATEM Third: no lineup match for markers [45]; Bosnia and Herzegovina Dennis Hadzikadunic: sub implied by lineup minutes (27) but no PDF row parsed; Qatar Hatim Abdulaziz Hatem: sub implied by lineup minutes (44) but no PDF row parsed
53,35,3,3,0,True,0.69,0.45,10,8,False,30,"Scotland Andy ROBERTSON: no lineup match for markers [45]; Scotland John McGINN: no lineup match for markers [1]; Scotland Ben GANNON DOAK: no lineup match for markers [82]; Scotland Lawrence SHANKLAND: unexplained markers [1] (mins=90, starting); Scotland Che ADAMS: markers [1] far from expected 89; Scotland Findlay CURTIS: markers [1] far from expected 89; Brazil CASEMIRO: no lineup match for markers [65]; Brazil VINICIUS JUNIOR: no lineup match for markers [3, 7]; Brazil GABRIEL MARTINELLI: no lineup match for markers [66]; Scotland Andrew Henry Robertson: sub implied by lineup minutes (46) but no PDF row parsed; Scotland Ben Gannon Gannon-Doak: sub implied by lineup minutes (81) but no PDF row parsed; Brazil Henrique: sub implied by lineup minutes (66) but no PDF row parsed; Brazil MARTINELLIGabriel Gabriel: sub implied by lineup minutes (24) but no PDF row parsed"
54,31,5,6,1,True,2.12,2.35,10,11,False,29,Morocco Azzedine OUNAHI: no lineup match for markers [70]; Haiti Jean Kevin DUVERNE: no lineup match for markers [80]; Haiti Louicius DEEDSON: no lineup match for markers [67]; Morocco Azz-Eddine Ounahi: sub implied by lineup minutes (20) but no PDF row parsed; Haiti Don Deedson Deedson: sub implied by lineup minutes (23) but no PDF row parsed; Haiti Jean-Kévin Duverne: sub implied by lineup minutes (80) but no PDF row parsed
55,25,4,5,1,True,1.71,1.62,9,7,False,29,"Türkiye Baris Alper YILMAZ: no lineup match for markers [31, 2]; Türkiye Oguz AYDIN: unexplained markers [2] (mins=90, starting); Türkiye Irfan Can KAHVECI: markers [2] far from expected 89; Türkiye Mert MULDUR: unexplained markers [2] (mins=0, substitutes); USA Weston McKENNIE: no lineup match for markers [86]; USA Joe SCALLY: no lineup match for markers [77]; USA Alex FREEMAN: no lineup match for markers [77]; USA Alex ZENDEJAS: no lineup match for markers [77]; Türkiye Ça ğ lar Soyuncu: sub implied by lineup minutes (6) but no PDF row parsed; USA Alexander Michael Freeman: sub implied by lineup minutes (14) but no PDF row parsed; USA Joseph Michael Scally: sub implied by lineup minutes (76) but no PDF row parsed; USA Alejandro Zendejas: sub implied by lineup minutes (14) but no PDF row parsed"
56,19,0,0,0,True,0.29,0.55,8,6,False,25,"Paraguay Diego GOMEZ: unexplained markers [2] (mins=90, starting); Paraguay Matias GALARZA: unexplained markers [2] (mins=90, starting); Paraguay Damian BOBADILLA: markers [2] far from expected 89; Australia Paul OKON ENGSTLER: no lineup match for markers [84]; Paraguay Júnior Osmar Ignacio Alonso: sub implied by lineup minutes (1) but no PDF row parsed; Australia Paul Michael Junior Okon-Engstler: sub implied by lineup minutes (6) but no PDF row parsed"
57,18,3,3,0,True,1.29,1.28,10,10,True,29,
58,18,2,2,0,True,0.66,0.32,10,9,False,30,Curaçao Juergen LOCADIA: no lineup match for markers [90]; Côte d'Ivoire Ange Yoan BONNY: no lineup match for markers [67]; Côte d'Ivoire Ange-Yoan Laurent Bonny: sub implied by lineup minutes (67) but no PDF row parsed
59,30,3,4,1,True,0.76,0.62,10,10,True,30,Tunisia Elias ACHOURI: no lineup match for markers [68]; Netherlands Jan Paul VAN HECKE: no lineup match for markers [62]; Tunisia Mohamed Elyes Achouri: sub implied by lineup minutes (23) but no PDF row parsed
