team,player,minute,direction,source,match_id,total_distance_m,zone4_m,zone5_m,high_speed_runs,sprints,top_speed_kmh,phys_matched,minutes_played,break2,entry_vs_break,timing_group,is_gk
Austria,Alexander PRASS,68,on,pdf_marker,43,3243.0,198.4,210.7,37.0,15.0,31.0,True,22,69.0,-1.0,at_break,False
Austria,Marco FRIEDL,68,on,pdf_marker,43,2757.1,170.0,41.8,30.0,12.0,29.5,True,22,69.0,-1.0,at_break,False
Argentina,Nicolás Alejandro Tagliafico,82,on,lineup_derived,43,1791.2,123.6,28.6,22.0,7.0,28.6,True,8,69.0,13.0,after_break,False
Argentina,Nicolas Ivan Gonzalez,64,on,lineup_derived,43,,,,,,,False,26,69.0,-5.0,before_break,False
Jordan,ABDALLAH ALFAKHORI,76,on,lineup_derived,44,,,,,,,False,14,,,after_break,False
Jordan,ALI AZAIZEH,85,on,pdf_marker,44,10959.5,773.6,335.3,146.0,58.0,32.6,True,5,,,after_break,False
Algeria,Zineddine BELAID,86,on,pdf_marker,44,1471.6,103.0,13.6,18.0,8.0,27.2,True,4,,,after_break,False
Algeria,Anis HADJ MOUSSA,76,on,pdf_marker,44,2464.6,168.1,83.0,26.0,17.0,29.4,True,14,,,after_break,False
Algeria,Nadhir BENBOUALI,45,on,pdf_marker,44,5586.1,363.9,122.2,66.0,35.0,30.1,True,45,,,after_break,False
Algeria,Jaouen HADJAM,85,on,pdf_marker,44,1599.5,194.9,25.4,20.0,13.0,27.0,True,5,,,after_break,False
Algeria,Nabil BENTALEB,45,on,pdf_marker,44,6053.9,388.2,93.9,80.0,27.0,29.7,True,45,,,after_break,False
Jordan,Ali Hasan Mohammad,85,on,lineup_derived,44,,,,,,,False,5,,,after_break,False
Jordan,Faisal Yousef Mohammad,89,on,lineup_derived,44,,,,,,,False,1,,,after_break,False
Jordan,Amer Saleem Saleem,89,on,lineup_derived,44,775.8,63.2,11.0,6.0,24.0,24.1,True,1,,,after_break,True
Portugal,BERNARDO SILVA,76,on,pdf_marker,45,2816.6,224.1,67.1,48.0,16.0,29.6,True,14,69.0,7.0,after_break,False
Portugal,FRANCISCO TRINCAO,64,on,pdf_marker,45,4066.9,376.4,109.2,56.0,32.0,29.2,True,26,69.0,-5.0,before_break,False
Portugal,RAFAEL LEAO,83,on,pdf_marker,45,1377.3,106.1,23.0,21.0,7.0,30.8,True,7,69.0,14.0,after_break,False
Portugal,FRANCISCO CONCEICAO,45,on,pdf_marker,45,5209.4,393.5,313.6,43.0,30.0,33.4,True,45,69.0,-24.0,before_break,False
Uzbekistan,Khojiakbar ALIJONOV,45,on,pdf_marker,45,5294.6,418.1,238.3,77.0,29.0,32.4,True,45,69.0,-24.0,before_break,False
Uzbekistan,Akmal MOZGOVOY,45,on,pdf_marker,45,5874.2,364.7,129.5,89.0,29.0,32.2,True,45,69.0,-24.0,before_break,False
Uzbekistan,Ruslanbek JIYANOV,89,on,lineup_derived,45,588.9,54.6,33.1,9.0,4.0,29.4,True,1,69.0,20.0,after_break,True
Uzbekistan,Igor SERGEEV,73,on,pdf_marker,45,2813.5,201.1,38.0,12.0,23.0,24.8,True,17,69.0,4.0,after_break,False
Uzbekistan,Sherzod ESANOV,89,on,lineup_derived,45,5254.7,354.1,188.8,59.0,27.0,34.1,True,1,69.0,20.0,after_break,False
Portugal,SEMEDONélson Nelson,46,on,lineup_derived,45,5360.6,361.7,315.0,72.0,28.0,33.8,True,44,69.0,-23.0,before_break,False
Colombia,Richard RIOS,77,on,pdf_marker,46,2217.5,160.4,66.1,28.0,13.0,28.7,True,13,68.0,9.0,after_break,False
Colombia,Jhon CORDOBA,58,on,pdf_marker,46,3413.1,162.0,33.8,42.0,10.0,28.2,True,32,68.0,-10.0,before_break,False
Colombia,Juan QUINTERO,58,on,pdf_marker,46,3929.9,263.6,13.2,45.0,13.0,26.0,True,32,68.0,-10.0,before_break,False
Congo DR,Nathanael MBUKU Third,82,on,pdf_marker,46,1843.5,141.6,39.9,22.0,8.0,32.4,True,8,68.0,14.0,after_break,False
Congo DR,Joris KAYEMBE,72,on,pdf_marker,46,2282.4,172.4,42.4,25.0,10.0,29.7,True,18,68.0,4.0,after_break,False
Congo DR,Noah SADIKI,45,on,pdf_marker,46,5321.1,223.0,91.2,58.0,17.0,30.9,True,45,68.0,-23.0,before_break,False
Congo DR,Charles PICKEL,72,on,pdf_marker,46,2669.7,178.0,68.3,30.0,14.0,30.8,True,18,68.0,4.0,after_break,False
Congo DR,Simon BANZA,57,on,pdf_marker,46,3747.5,205.5,77.9,47.0,15.0,29.9,True,33,68.0,-11.0,before_break,False
England,Nico OREILLY,66,on,pdf_marker,47,3206.2,194.1,88.4,37.0,16.0,32.8,True,24,70.0,-4.0,before_break,False
England,Bukayo SAKA,65,on,pdf_marker,47,2981.2,104.3,36.2,34.0,9.0,30.0,True,25,70.0,-5.0,before_break,False
England,Marcus RASHFORD,83,on,pdf_marker,47,1492.5,95.4,50.0,16.0,10.0,29.2,True,7,70.0,13.0,after_break,False
England,Morgan ROGERS,74,on,pdf_marker,47,2685.4,111.1,35.5,32.0,10.0,26.6,True,16,70.0,4.0,after_break,False
England,Eberechi EZE,74,on,pdf_marker,47,2270.2,146.4,8.1,19.0,9.0,26.7,True,16,70.0,4.0,after_break,False
Ghana,Abdul FATAWU,66,on,pdf_marker,47,3287.0,173.9,67.7,50.0,14.0,30.8,True,24,70.0,-4.0,before_break,False
Ghana,Kojo Peprah OPPONG,87,on,pdf_marker,47,,,,,,,False,3,70.0,17.0,after_break,False
Ghana,Prince ADU,67,on,pdf_marker,47,2867.8,132.6,124.2,32.0,12.0,33.7,True,23,70.0,-3.0,at_break,False
Ghana,Abdul Rahman Rahman,89,on,lineup_derived,47,,,,,,,False,1,70.0,19.0,after_break,False
Panama,Tomas RODRIGUEZ,90,on,pdf_marker,48,509.3,32.5,20.7,9.0,3.0,30.7,True,0,69.0,21.0,after_break,True
Panama,Eric DAVIS,90,on,pdf_marker,48,604.7,46.2,5.6,12.0,4.0,26.0,True,0,69.0,21.0,after_break,False
Panama,Cecilio WATERMAN,77,on,pdf_marker,48,1645.1,116.0,79.9,15.0,9.0,30.3,True,13,69.0,8.0,after_break,False
Panama,Azarias LONDONO,83,on,pdf_marker,48,1394.9,69.2,31.1,17.0,5.0,27.1,True,7,69.0,14.0,after_break,False
Croatia,Andrej KRAMARIC,45,on,pdf_marker,48,6146.8,450.8,171.5,92.0,31.0,30.3,True,45,69.0,-24.0,before_break,False
Croatia,Ante BUDIMIR,45,on,pdf_marker,48,5475.0,408.9,221.9,55.0,33.0,31.0,True,45,69.0,-24.0,before_break,False
Croatia,Mario PASALIC,81,on,pdf_marker,48,1617.2,120.9,6.6,30.0,11.0,26.7,True,9,69.0,12.0,after_break,False
Croatia,Petar SUCIC,72,on,pdf_marker,48,2757.6,159.6,80.2,43.0,11.0,31.6,True,18,69.0,3.0,at_break,False
Croatia,Luka SUCIC,72,on,pdf_marker,48,2774.8,221.4,101.2,31.0,17.0,29.8,True,18,69.0,3.0,at_break,False
Czechia,Patrik SCHICK,64,on,pdf_marker,49,3442.0,250.0,20.9,46.0,15.0,26.0,True,26,68.0,-4.0,before_break,False
Czechia,Lukas PROVOD,56,on,pdf_marker,49,4480.4,310.9,134.8,62.0,22.0,31.0,True,34,68.0,-12.0,before_break,False
Czechia,Tomas CHORY,87,on,pdf_marker,49,1218.8,122.1,54.5,19.0,10.0,28.3,True,3,68.0,19.0,after_break,False
Czechia,Tomas SOUCEK,64,on,pdf_marker,49,2470.7,178.5,82.8,43.0,10.0,28.5,True,26,68.0,-4.0,before_break,False
Czechia,Alexandr SOJKA,87,on,pdf_marker,49,1477.6,147.9,29.3,32.0,10.0,26.8,True,3,68.0,19.0,after_break,False
Mexico,Guillermo OCHOA,78,on,pdf_marker,49,7134.9,442.8,75.1,76.0,37.0,29.7,True,12,68.0,10.0,after_break,False
Mexico,Alvaro FIDALGO,72,on,pdf_marker,49,3319.6,313.1,174.9,57.0,22.0,31.1,True,18,68.0,4.0,after_break,False
Mexico,Santiago GIMENEZ,63,on,pdf_marker,49,3485.5,172.9,55.0,52.0,14.0,29.8,True,27,68.0,-5.0,before_break,False
Mexico,Obed VARGAS,63,on,pdf_marker,49,4004.8,202.5,53.0,79.0,17.0,28.2,True,27,68.0,-5.0,before_break,False
Mexico,Jesus GALLARDO,78,on,pdf_marker,49,2127.0,117.3,23.4,25.0,8.0,30.7,True,12,68.0,10.0,after_break,False
