team,player,minute,direction,source,match_id
Algeria,Riyad MAHREZ,76,off,pdf_marker,44
Algeria,Amine GOUIRI,86,off,pdf_marker,44
Algeria,Hicham BOUDAOUI,45,off,pdf_marker,44
Algeria,Zineddine BELAID,86,on,pdf_marker,44
Algeria,Anis HADJ MOUSSA,76,on,pdf_marker,44
Algeria,Nadhir BENBOUALI,45,on,pdf_marker,44
Algeria,Jaouen HADJAM,85,on,pdf_marker,44
Algeria,Nabil BENTALEB,45,on,pdf_marker,44
Jordan,Ali Hasan Mohammad,85,on,lineup_derived,44
Jordan,Faisal Yousef Mohammad,89,on,lineup_derived,44
Jordan,Amer Saleem Saleem,89,on,lineup_derived,44
Algeria,Rayan Ait-Nouri,85,off,lineup_derived,44
Portugal,JOAO FELIX,64,off,pdf_marker,45
Portugal,JOAO NEVES,76,off,pdf_marker,45
Portugal,PEDRO NETO,45,off,pdf_marker,45
Portugal,JOAO CANCELO,45,off,pdf_marker,45
Portugal,VITINHA,83,off,pdf_marker,45
Portugal,BERNARDO SILVA,76,on,pdf_marker,45
Portugal,FRANCISCO TRINCAO,64,on,pdf_marker,45
Portugal,RAFAEL LEAO,83,on,pdf_marker,45
Portugal,FRANCISCO CONCEICAO,45,on,pdf_marker,45
Uzbekistan,Odiljon XAMROBEKOV,45,off,pdf_marker,45
Uzbekistan,Sherzod NASRULLAEV,45,off,pdf_marker,45
Uzbekistan,Abbosbek FAYZULLAEV,73,off,pdf_marker,45
Uzbekistan,Khojiakbar ALIJONOV,45,on,pdf_marker,45
Uzbekistan,Akmal MOZGOVOY,45,on,pdf_marker,45
Uzbekistan,Ruslanbek JIYANOV,89,on,lineup_derived,45
Uzbekistan,Igor SERGEEV,73,on,pdf_marker,45
Uzbekistan,Sherzod ESANOV,89,on,lineup_derived,45
Portugal,SEMEDONélson Nelson,46,on,lineup_derived,45
Colombia,James RODRIGUEZ,58,off,pdf_marker,46
Colombia,Jhon ARIAS,77,off,pdf_marker,46
Colombia,Jefferson LERMA,94,off,pdf_marker_late,46
Colombia,Luis SUAREZ,58,off,pdf_marker,46
Colombia,Richard RIOS,77,on,pdf_marker,46
Colombia,Jhon CORDOBA,58,on,pdf_marker,46
Colombia,Juan QUINTERO,58,on,pdf_marker,46
