match_id,sofascore_id,break_number,half,stage,start_minute,manifest_start,manifest_end,duration_display_min,band_quality,commentary_minute,n_commentary,timing_consistent,margin,leadside,orient,pre_level,pre_slope,post_level,wbgt,tempC,local_hour,elo_home,elo_away,elo_gap_or,unit
43,15186502,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,1,10.2,3.8,-20.4,33.3,31.0,12,2128.0,1857.0,271.0,T15186502_23
43,15186502,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,1,home,1,4.4,-4.8,2.2,33.3,31.0,12,2128.0,1857.0,271.0,T15186502_69
45,15186858,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,2,home,1,24.6,16.0,14.0,34.2,33.8,12,1967.0,1698.0,269.0,T15186858_23
45,15186858,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,4,home,1,17.0,17.3,14.6,34.2,33.8,12,1967.0,1698.0,269.0,T15186858_69
46,15186713,1,H1,GRP,25,25.0,28.0,3.0,ok,,,True,0,level,1,32.8,3.4,13.4,21.7,18.4,20,2006.0,1666.0,340.0,T15186713_25
46,15186713,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,1,45.6,-2.2,13.0,21.7,18.4,20,2006.0,1666.0,340.0,T15186713_68
47,15186672,1,H1,GRP,26,26.0,29.0,3.0,ok,,,True,0,level,1,16.6,-3.4,25.0,22.7,19.0,16,2055.0,1557.0,498.0,T15186672_26
47,15186672,2,H2,GRP,70,70.0,73.0,3.0,ok,,,True,0,level,1,55.6,-15.1,37.2,22.7,19.0,16,2055.0,1557.0,498.0,T15186672_70
48,15186520,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,-1,21.4,10.2,22.4,21.3,22.1,19,1683.0,1881.0,198.0,T15186520_23
48,15186520,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,1,away,-1,-10.4,-0.3,-52.0,21.3,22.1,19,1683.0,1881.0,198.0,T15186520_69
49,15186732,1,H1,GRP,22,22.0,26.0,4.0,ok,,,True,0,level,1,11.8,-1.8,-9.4,20.0,19.0,19,1843.0,1912.0,-69.0,T15186732_22
49,15186732,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,2,away,-1,-1.2,-13.2,-37.6,20.0,19.0,19,1843.0,1912.0,69.0,T15186732_68
50,15186744,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,1,19.2,7.6,-5.6,30.5,31.3,19,1575.0,1723.0,-148.0,T15186744_23
50,15186744,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,1,home,1,-3.2,1.2,-17.2,30.5,31.3,19,1575.0,1723.0,-148.0,T15186744_69
51,15186821,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,0,level,-1,10.8,16.4,-1.2,25.2,26.2,12,1885.0,1777.0,-108.0,T15186821_23
51,15186821,2,H2,GRP,71,71.0,74.0,3.0,ok,,,True,2,home,1,-26.2,-6.5,-28.2,25.2,26.2,12,1885.0,1777.0,108.0,T15186821_71
52,15186829,1,H1,GRP,23,23.0,23.0,,implausible_end,,,True,0,level,1,24.0,2.4,16.6,24.9,26.2,12,1596.0,1437.0,159.0,T15186829_23
52,15186829,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,1,home,1,-9.0,1.8,-18.4,24.9,26.2,12,1596.0,1437.0,159.0,T15186829_69
53,15186861,1,H1,GRP,25,25.0,28.0,3.0,ok,,,True,1,away,-1,33.0,-6.6,-16.0,30.6,30.0,18,1768.0,1986.0,218.0,T15186861_25
53,15186861,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,3,away,-1,-7.4,-21.5,-5.6,30.6,30.0,18,1768.0,1986.0,218.0,T15186861_68
54,15186864,1,H1,GRP,23,23.0,55.0,,implausible_end,,,True,1,away,-1,-13.8,-0.9,-9.8,27.1,28.8,18,1866.0,1528.0,-338.0,T15186864_23
54,15186864,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,1,32.8,-3.0,16.6,27.1,28.8,18,1866.0,1528.0,338.0,T15186864_68
55,15186887,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,0,level,-1,7.0,-9.9,0.4,21.3,19.0,19,1852.0,1781.0,-71.0,T15186887_23
55,15186887,2,H2,GRP,67,67.0,70.0,3.0,ok,,,True,0,level,-1,71.0,16.2,13.2,21.3,19.0,19,1852.0,1781.0,-71.0,T15186887_67
56,15186891,1,H1,GRP,24,24.0,26.0,2.0,ok,,,True,0,level,-1,16.4,5.1,8.2,19.3,17.0,19,1815.0,1800.0,-15.0,T15186891_24
